"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"r_new[14,2]",0.008988745618,0.00887637205,0.000897089806839442,0.00096947206587,0.007794145315,0.01043977955,0.995709126839262,38.8381183530742,76.6284020089591
"r_new[15,2]",0.008760283006,0.0088238509,0.000852600605902974,0.000901909242569999,0.007368936115,0.01009062675,1.00548609179141,53.696825808298,39.7998635433251
"r_new[16,2]",0.0089475699,0.0088770869,0.000852980377198723,0.00082397192577,0.00779453616,0.0102521544,1.0833174711972,26.0783553566793,56.9496994782622
"r_new[17,2]",0.008546486984,0.0085283244,0.000784983607888187,0.00073999227267,0.007394111515,0.00972929446,1.09600977093269,8.94172341434055,30.2036589575423
"r_new[18,2]",0.008631477239,0.00850076185,0.000723127550040257,0.000745759216020001,0.00760690986,0.00996626594,0.990128899404142,33.6831178394873,68.4184094919837
"r_new[19,2]",0.008708786778,0.00876600735,0.00090088806507291,0.00091319256987,0.007167531925,0.0100293882,1.05166181674046,21.1258166884214,13.6975579211021
"r_new[20,2]",0.008724938252,0.0087715391,0.000882918450573787,0.000838093764899999,0.007229778025,0.01003993685,1.05380604125216,26.4913364247173,21.8886804252658
"r_new[21,2]",0.008676632857,0.00872098855,0.0008393915418486,0.000870671008829999,0.007417316475,0.0101609731,1.05587941212767,32.3688940925343,35.0070014002799
"r_new[22,2]",0.008814289018,0.0088505737,0.00075583958909846,0.00092419835445,0.0075971747,0.00990161463,0.992824704990416,30.4176918951638,68.8140521811375
"r_new[23,2]",0.008683750996,0.0086756736,0.000661702221182425,0.000688367473499999,0.00765851586,0.00982139429,0.991191062238969,57.6573391445367,113.437841665597
"r_new[24,2]",0.008594836806,0.0085291173,0.000896963499519819,0.00081763929639,0.007222685965,0.01027626245,1.01686787332281,55.3847602046658,58.9391161255239
"r_new[25,2]",0.008925605706,0.0089165968,0.000814956646266834,0.00074418447243,0.007595901625,0.01012751655,0.995687473179575,77.5102321112046,101.770467540265
"r_new[26,2]",0.008917216951,0.00890718385,0.000666678932982017,0.00073643217942,0.00799388554,0.01007370885,1.00135213715564,49.5565895999336,42.434529582929
"r_new[27,2]",0.008823461315,0.00878606255,0.000953062159923477,0.00079834785345,0.00699735565,0.01039582885,0.990414400395927,38.9121956949391,43.1269119030573
"r_new[28,2]",0.008792354138,0.00868187485,0.000881016045864453,0.000810009614400001,0.007602967935,0.01048948465,1.08845195800561,22.0194598787295,29.535152859485
"r_new[29,2]",0.008943752484,0.00890590105,0.000863105399270581,0.000746252847690001,0.007491537095,0.0104073132,1.07270624461835,24.8715021724975,21.9270768074176
"r_new[30,2]",0.008737166441,0.0087241008,0.000906112220224004,0.000899218694219998,0.00734228213,0.0101471473,1.33731056232486,2.71060203222054,21.0246288509397
"r_new[31,2]",0.008950934616,0.00885575075,0.000873605016221337,0.00074143988331,0.00761700364,0.0104900192,1.03276137934546,25.817211103679,31.5226062118834
"r_new[32,2]",0.0089252522,0.0089719471,0.000922498611333099,0.000972945056369999,0.00734748342,0.0103124379,1.06674743866479,24.1365661644447,46.8971325753225
"r_new[33,2]",0.009017738885,0.0089916219,0.000888285669423344,0.000955118867009999,0.007633524875,0.01054555315,1.24554749731751,3.44608191851823,44.5066124109867
"r_new[34,2]",0.009069498173,0.00897900155,0.00107080239504162,0.000996979559099999,0.007641276425,0.0110010098,1.13855952357358,7.03312120559262,40.0549324788279
"r_new[35,2]",0.009207261652,0.0091388179,0.00101771922405296,0.0011237188788,0.007940092465,0.0109499219,1.14216380982303,6.26147865236811,73.5691550057054
"r_new[36,2]",0.009247481224,0.0090685117,0.00116367390330739,0.00098920339623,0.00752163184,0.0113538726,1.14956669403297,7.19892334219553,19.0238069355364
"r_new[37,2]",0.009424386982,0.0093794619,0.00136865728586827,0.00177242591274,0.007571481805,0.0115540467,1.13592816392492,6.27367884665632,42.4389398926035
"r_new[38,2]",0.009449360992,0.0092677483,0.00127368576171059,0.00141789688971,0.007533694155,0.01167978885,1.06470364604503,11.571432146753,62.7936335791841
"r_new[39,2]",0.009481382836,0.0093490893,0.00150585003306678,0.00171703115829,0.00746683789,0.01197378065,1.13504671588082,7.16311550005898,31.7839996054474
"r_new[40,2]",0.009712387875,0.0095675534,0.00157573783226784,0.00171910553808,0.00743560253,0.012772259,1.13969995956456,6.9721691885276,50.6923710931221
"r_new[1,3]",0.007425934056,0.0075067909,0.000611403177269534,0.00056230407114,0.00642046971,0.008369603585,1.16782640036551,5.77658540841779,13.219519564889
"r_new[2,3]",0.007688643178,0.0076913324,0.000787978068599284,0.00075830853546,0.00626399124,0.00899277978,1.10635596897468,9.52175322636653,20.81351094196
"r_new[3,3]",0.007895029793,0.0079338068,0.000965066685313348,0.000929365215449999,0.0065124822,0.009425777675,1.16744215077505,6.16555501431623,29.2691085465796
"r_new[4,3]",0.007713375659,0.00766284625,0.00100202545718058,0.00076060701024,0.006247975145,0.00949295074,1.17077160892219,5.90830310110815,20.9882465819141
"r_new[5,3]",0.008120121632,0.008124667,0.00090010908522695,0.000850165316489999,0.006586676845,0.00958825965,1.07199507183878,12.4210169466044,13.7806126466651
"r_new[6,3]",0.008310282872,0.0083764091,0.000902284798207497,0.00079254992376,0.00669729225,0.009679955255,1.16089271118485,6.6267938909309,12.9122703460488
"r_new[7,3]",0.008315160781,0.00832987095,0.000926053078550982,0.000964595275560001,0.00675532754,0.00973915515,1.1517882714563,6.9066785534264,16.9705197827773
"r_new[8,3]",0.008512790453,0.00853885945,0.000864104231931212,0.00075550382691,0.00686694013,0.00967357909,1.0560121568154,12.980432854563,16.913114912535
"r_new[9,3]",0.008533350486,0.00853117265,0.00089864305327888,0.00103870785501,0.007225340345,0.0100265186,1.04660506348125,12.3929422313936,55.4729091232305
"r_new[10,3]",0.008693685997,0.008589328,0.001101447143418,0.00101252810421,0.006987249125,0.0107275262,1.09316762754285,8.30947147589465,45.4180544618317
"r_new[11,3]",0.008760063857,0.00862994655,0.000961971430205137,0.00102697025907,0.007310931955,0.0104162729,1.1380420703487,6.39223933844325,16.576678980771
"r_new[12,3]",0.008665317433,0.00858435585,0.000970896927213572,0.000848155059149999,0.00706165116,0.0104340581,1.13679234985246,6.50368859712072,31.2899106002555
"r_new[13,3]",0.008732642246,0.00870684495,0.000958005818546354,0.000849814014420001,0.007059687255,0.01035572825,1.27411304410272,3.32573525621186,48.4074922943175
"r_new[14,3]",0.008684317885,0.0086193974,0.00104545480269196,0.00118540556526,0.00725931084,0.01060672095,1.29284215600607,2.92551917430956,32.9939668174962
"r_new[15,3]",0.008587590558,0.008608296,0.00101783039076773,0.00117730604733,0.006991486315,0.01008182905,1.488008140563,2.08691515779103,30.8992306722159
"r_new[16,3]",0.008558503618,0.0085702912,0.00105567211105603,0.00128702252448,0.007070402115,0.01023318655,1.35392674486483,2.55375587059913,27.3181392444583
"r_new[17,3]",0.008745731099,0.00867379585,0.00101892680950074,0.00106360827027,0.00723009831,0.0105003709,1.5046703187949,2.01164294203017,29.0649393788405
"r_new[18,3]",0.008787814287,0.0088299105,0.00101600399636795,0.00108696618849,0.00717846342,0.01045284945,1.53774979832754,2.0181558683367,41.2444025453687
"r_new[19,3]",0.008674991761,0.0087167015,0.000874383380030572,0.00097471424295,0.00720349851,0.01006252785,1.38155218434898,2.52341122096066,48.4074922943175
"r_new[20,3]",0.008626797401,0.0085909653,0.000993449939340791,0.00102766841541,0.00725331491,0.0101872374,1.37336337166124,2.42500713055867,48.1563015960371
"r_new[21,3]",0.008672814597,0.00863930195,0.000928493804311532,0.00101470708143,0.007359812265,0.0101413041,1.22253916618732,3.69081251966851,92.5821824972986
"r_new[22,3]",0.008530678829,0.00853774795,0.000741962645586413,0.000663902942640001,0.00753455614,0.009832952555,1.15464848165863,5.40327608750973,46.9547890875454
"r_new[23,3]",0.008628287515,0.0085260335,0.000884577079645129,0.00078586747491,0.00711869849,0.0101141461,1.26660177521655,3.15857259114106,40.5548566509965
"r_new[24,3]",0.008608109591,0.0086130492,0.000793579097439749,0.00075558892815,0.00741865567,0.009764035445,1.06984374214868,28.3111410593824,54.856456899439
"r_new[25,3]",0.008539642388,0.00857323675,0.000752479465882399,0.000673633617090002,0.00726121378,0.009802054925,1.03798834365111,19.5452917239395,78.3393298097877
"r_new[26,3]",0.008662029443,0.00876684865,0.000789262279439699,0.000863186621640001,0.007262872225,0.009940077725,1.02821340599109,25.1912279383398,78.3393298097876
"r_new[27,3]",0.008695292786,0.00862746645,0.000894210826343095,0.00102347651217,0.00747716847,0.009907791445,1.02054727247928,42.5161632531249,86.2757747212424
"r_new[28,3]",0.008770713891,0.00891906285,0.00087446646056877,0.00103151012853,0.007490223015,0.0102631256,1.03514429276822,42.7701447343209,58.1996870625698
"r_new[29,3]",0.008715383932,0.00864955,0.000913468184678248,0.00098030364495,0.0072583107,0.0100493596,1.04522698168391,20.9537970968885,44.2325367647058
"r_new[30,3]",0.008732080932,0.0087986153,0.000860521651903479,0.00092859515301,0.007524889255,0.01003957425,0.997699439663388,15.9872481214783,30.6204069389591
"r_new[31,3]",0.008719361723,0.0087388124,0.000945308430408506,0.00087350944653,0.00695946841,0.0102346558,1.08349048247532,14.2753117529879,15.4307380301561
"r_new[32,3]",0.008855594461,0.0088203647,0.000846574313007988,0.000865000730999999,0.007554680675,0.01015722955,1.0439741312876,21.119548088558,38.5717434428037
"r_new[33,3]",0.00876927137,0.0088319888,0.000828731338101095,0.00090916612479,0.007276560375,0.009946936625,1.09547114480964,12.78413936495,31.2859149533904
"r_new[34,3]",0.008820373147,0.0089529408,0.000805910777048353,0.000917601155099999,0.007531564985,0.009977717125,1.06233580095034,32.6760571624995,51.556342412722
"r_new[35,3]",0.009019173351,0.0089339258,0.000764167041597667,0.00086666072409,0.007841746095,0.01034141215,1.06518233260422,29.8517068360968,44.5810103703794
"r_new[36,3]",0.008970753813,0.0089273565,0.000759868945672987,0.0006802569102,0.007804944995,0.010339174,1.01616219242732,43.7179367056096,51.556342412722
"r_new[37,3]",0.009071537579,0.0091174568,0.00081541695651629,0.00095771082246,0.007745559595,0.0102698543,1.01882163735806,50.4291864060591,19.4986072423398
"r_new[38,3]",0.009295639472,0.00921630645,0.00082474520164779,0.000735866048609999,0.0080953729,0.0106776074,1.00962623363632,20.1198244787088,51.5338182396663
"r_new[39,3]",0.009352154856,0.0092861054,0.000970656308423798,0.00107548723212,0.007878710805,0.0110380355,1.01469217091458,27.2127292794781,58.9391161255239
"r_new[40,3]",0.009583767939,0.0093927288,0.00108565741462428,0.00090560202852,0.00799495058,0.01153960335,1.00176682914349,18.7554799920176,50.2287038392957
"r_new[1,4]",0.008332061357,0.00826100725,0.000600723145518746,0.000630657416760001,0.007554978765,0.009405956575,1.24422192351875,4.12983451283065,21.0246288509397
"r_new[2,4]",0.008218895797,0.00818137195,0.000971983993065901,0.00082464858441,0.00685450523,0.009899222365,1.21923906243034,4.42127002515097,34.362847091416
"r_new[3,4]",0.007968695152,0.00798036585,0.000868828038443173,0.000780398682420001,0.006528125305,0.009437867895,1.00978395346061,25.1066535260327,31.7839996054474
"r_new[4,4]",0.007918053127,0.0078419069,0.000827472243286402,0.00077227218117,0.00657809097,0.009254000015,1.00234959320977,29.1612662358039,66.9637815053919
"r_new[5,4]",0.007841144692,0.00784985145,0.000808090613376548,0.000827931283200001,0.00665168054,0.009175101715,1.03647602582095,13.9875834967953,33.6527764533867
"r_new[6,4]",0.007854932678,0.00794715165,0.000795089256884926,0.000710045457660002,0.00648062916,0.00900998667,0.998927676497225,21.7316444314243,54.3553240438646
"r_new[7,4]",0.007937234155,0.0078456728,0.000737924949703365,0.00062017180239,0.007034572495,0.009449072955,1.01246038010604,20.5821909087208,52.4502744151648
"r_new[8,4]",0.007870014966,0.007858971,0.000629926487114451,0.00063770124936,0.006871308785,0.0090121851,0.996851106657761,41.3443213744981,61.3835995991276
"r_new[9,4]",0.008007676402,0.0079576315,0.000869577528842765,0.00092869737828,0.006691852655,0.00933003756,1.03579888838432,31.699858853026,81.5535881620723
"r_new[10,4]",0.00817907933,0.00810493255,0.000743545979019663,0.000873869199420002,0.006992409235,0.00951884553,1.04877015546682,17.319445559918,44.5066124109868
"r_new[11,4]",0.008316379379,0.00823109735,0.000789121769522083,0.000624194689230001,0.007217026235,0.009370276475,0.997824339952004,26.6692739338608,37.3232981986111
"r_new[12,4]",0.008457173397,0.0084720786,0.00071225939819748,0.000615434672999997,0.007196896555,0.00968410753,1.01138898869135,31.1770424117057,65.4003091120768
"r_new[13,4]",0.008508981922,0.00865783285,0.000859750414909385,0.000968419494000001,0.00695422912,0.0096744326,1.0257988602338,16.2546914193296,60.0334542980267
"r_new[14,4]",0.008554798058,0.00862516435,0.000771000569260646,0.000777744606029999,0.00718989916,0.00965055104,0.998333019643404,19.8730973817225,108.127528112428
"r_new[15,4]",0.008487531668,0.0085934126,0.000744999513195327,0.000751716302819999,0.007032364285,0.009497880515,0.996125567985582,46.3376269446988,13.9420012746973
"r_new[16,4]",0.008746950202,0.0087256081,0.000886173549931791,0.000933427168799999,0.007456038515,0.0100654501,1.30492722909519,2.84643551757564,24.3582350718816
"r_new[17,4]",0.008727445168,0.0087146798,0.000779883048479066,0.000613570081110001,0.00751264737,0.009999645035,1.09677543445228,9.16609444865516,22.1406882591093
"r_new[18,4]",0.008697880584,0.00869431525,0.000907034589052974,0.00111946589244,0.007249953485,0.01010308205,1.30151697637888,3.1250514859113,59.8640966872305
"r_new[19,4]",0.008797744877,0.0086604329,0.00102816618357022,0.00103816425972,0.007304936875,0.0104423502,1.14367868367189,8.32786556528451,40.5548566509965
"r_new[20,4]",0.008709026311,0.0085829552,0.00111224507906185,0.00134199673944,0.007083726745,0.01046348215,1.2816984501655,2.87324753890237,17.566753663923
"r_new[21,4]",0.008578712051,0.00879712035,0.00109933917461796,0.00134613519495,0.00698702404,0.0101687221,1.22271327060821,3.7951525147952,14.0201890722641
"r_new[22,4]",0.008702807261,0.0086997276,0.00107223276132524,0.00102804633015,0.006717153905,0.0103541932,1.29428382297653,2.89096295087548,19.6518809657495
"r_new[23,4]",0.008904926324,0.0090299399,0.00122834648388756,0.00126780884391,0.00682354618,0.01065790875,1.33038415981501,2.84860906024181,31.6824001034527
"r_new[24,4]",0.00876224372,0.00884103675,0.00108401073435111,0.0012354720777,0.00711063993,0.0104308573,1.49541550507636,2.03864598945411,14.8091732250148
"r_new[25,4]",0.008752053387,0.0088004304,0.0009727328256526,0.00112701714489,0.007208356585,0.0101772503,1.07839721865209,10.5481946144646,23.3177881412391
"r_new[26,4]",0.008724080927,0.0086978793,0.00095670558446272,0.000881922237839999,0.007169879385,0.01035742305,1.10719266751,9.42911393426106,16.5328294756731
"r_new[27,4]",0.008909970136,0.00900083195,0.00095178330203835,0.00090011670504,0.007413483385,0.01049024185,1.10784536507847,7.554698217618,52.4502744151648
"r_new[28,4]",0.008951143844,0.00890903635,0.000856318548038161,0.000806176574489999,0.007683230395,0.01055773645,1.11554865675593,9.42113811751114,73.5691550057054
"r_new[29,4]",0.008934481378,0.00897294835,0.000802946362637443,0.00081709881456,0.00759574564,0.01010574325,1.09229900616943,13.2340298574116,19.7762459034919
"r_new[30,4]",0.00867849465,0.0087131484,0.00079712187971534,0.00080784435123,0.007354976595,0.009831149975,0.993583674419773,20.2238301134916,40.049715957066
"r_new[31,4]",0.008679621887,0.0088426805,0.000850869084026829,0.00088342678032,0.00726544735,0.00972499908,1.07382697354892,38.6431907163482,51.7769565035141
"r_new[32,4]",0.008549407814,0.0085467223,0.000825463187804985,0.000906664385550001,0.00709444082,0.009779281835,0.992207335574216,40.7112840636819,74.7352313149317
"r_new[33,4]",0.008504767491,0.00851208425,0.000761050784732235,0.000717355194570001,0.00734383114,0.00958390253,0.998537818248697,19.493049740583,34.3628470914159
"r_new[34,4]",0.008502103241,0.00841277935,0.000761100423082201,0.00067130400771,0.007515829795,0.009684223385,1.06161542569615,40.1272456499671,52.4502744151649
"r_new[35,4]",0.008568895526,0.00845043765,0.000848332212341401,0.00100248949374,0.007223990715,0.00996208231,1.03972680024512,23.7835348168188,40.5548566509965
"r_new[36,4]",0.008235708473,0.0081618169,0.000880108793387309,0.00079142937468,0.006780704785,0.00976515118,1.0016731270501,17.1969522906216,13.7578616352201
"r_new[37,4]",0.008396078445,0.00837064095,0.000856033193389009,0.00102890653467,0.007094978155,0.00963759056,1.04238137623472,17.338974468433,21.0235463719365
"r_new[38,4]",0.008355994894,0.0082085106,0.00101589437947264,0.0011343795141,0.006849965425,0.00998409747,1.00378375404505,16.5061652955808,42.1527132583187
"r_new[39,4]",0.008337465879,0.0082060937,0.000735173100894824,0.000673362375420001,0.00735312652,0.00954900649,1.03774899768254,19.4968597596756,43.9114926796898
"r_new[40,4]",0.008412596412,0.00840121775,0.000934761291073232,0.00097219478664,0.00702524906,0.00988349764,1.01247651526443,14.6984104056801,34.362847091416
"r_new[1,5]",0.006806695462,0.00682789785,0.000468849963992981,0.00049259125545,0.00612423897,0.007663158645,1.01334030786361,18.9433098282289,34.362847091416
"r_new[2,5]",0.006807876931,0.0068433468,0.000768978571022716,0.000726559842540001,0.0056834859,0.00796727504,1.08931279557684,30.5409033973548,18.6269292176689
"r_new[3,5]",0.006913805034,0.00693607525,0.000743024080882208,0.000638242694879999,0.005507699025,0.008073627,1.06091820446431,10.3734973021271,25.1472912774823
"r_new[4,5]",0.007012200295,0.0069091956,0.000769214414526645,0.00079151395701,0.005743742765,0.00821247252,1.0745707385627,30.6633352466677,78.3393298097876
"r_new[5,5]",0.007065915327,0.00686938295,0.00103829234432863,0.00099556315719,0.0057430149,0.00896027761,1.11814991583439,18.1334753123734,30.6204069389592
"r_new[6,5]",0.007067048726,0.00707974595,0.000871970174063523,0.00103730842887,0.00586474589,0.00849320676,1.12023520212924,8.29542187679908,48.4074922943175
"r_new[7,5]",0.007024024922,0.0069755213,0.000758578873546334,0.00064040106396,0.00588366943,0.008379502725,1.05653168306628,17.9588569686903,43.7970546868536
"r_new[8,5]",0.00710102566,0.00710010335,0.000731564008693885,0.00073215576798,0.00604213739,0.0083701067,1.09670824728236,15.4626082332858,21.0246288509397
"r_new[9,5]",0.006915939156,0.00700859095,0.000725062455859807,0.00070050781773,0.005709850905,0.00821032627,1.03730326314031,31.7304416628052,47.1377098498653
"r_new[10,5]",0.006893298354,0.00679780215,0.000664494206012256,0.00061560709938,0.006049709945,0.00802289929,0.992958037436362,59.7360987771552,51.5308124388011
"r_new[11,5]",0.007398682746,0.00717197365,0.000981142036632438,0.00075024037452,0.00619421043,0.0094186053,1.12687248186099,6.67661747651484,46.6027543178878
"r_new[12,5]",0.007226602082,0.00719871645,0.000874200763725368,0.00096142747827,0.00587969299,0.008687555945,1.02686718723096,36.9302364658027,37.7085513759773
"r_new[13,5]",0.007621035993,0.0075260553,0.000918889665692996,0.00088413709398,0.006301593075,0.0093435789,1.17293365354825,4.14705978804147,21.0246288509397
"r_new[14,5]",0.007443425931,0.00727365975,0.000886999950295573,0.00072888537477,0.00640634947,0.009567177635,1.09816602195388,13.3486360588519,37.4824062174897
"r_new[15,5]",0.007694373289,0.00769602765,0.000794058580444959,0.0007124374845,0.006478050905,0.009064226795,1.08978819543144,13.4263725237419,27.0813989476941
"r_new[16,5]",0.007684429897,0.0077027544,0.000731583236901436,0.00079049793123,0.006468872275,0.008995287665,1.05894548083688,28.7030344492799,18.0486798679868
"r_new[17,5]",0.008170462089,0.0080230903,0.000862062939623862,0.00082328429589,0.006965306475,0.009628593665,1.23188267705078,14.7825361924726,19.7294250281848
"r_new[18,5]",0.008057189281,0.00792663525,0.000919441973954728,0.00107643461352,0.00679740986,0.00986798046,0.990074880494428,36.3748234251869,45.7499253062444
"r_new[19,5]",0.008297489212,0.00837486075,0.00100426590331719,0.00103554502443,0.00656388295,0.01016267135,1.04053412155446,10.7380991245483,39.0537826378039
"r_new[20,5]",0.008581941286,0.0085678616,0.000888225302021936,0.00099323651301,0.00719479584,0.0100079695,0.998600653051151,25.0034646823088,58.9391161255239
